ticket_id,ticket_description,category,priority,resolution_time_hours,assigned_team,status,created_date
1000,VPN connection failed remotely,VPN Access,Medium,2.12,Cloud Team,In Progress,2026-02-04
1001,Unable to connect to company VPN,VPN Access,Critical,3.57,Cloud Team,Resolved,2026-03-05
1002,Form submission failed,Application Bug,Medium,10.68,Database Team,Open,2026-06-09
1003,Unable to connect to company VPN,VPN Access,Medium,10.94,Network Team,Closed,2025-09-09
1004,Password reset link not working,Password Reset,Low,10.21,Cloud Team,Open,2026-02-17
1005,Keyboard not working properly,Hardware Issue,Medium,6.24,Application Team,Resolved,2025-07-15
1006,Internet speed extremely slow,Network Issue,Medium,2.5,Network Team,Open,2025-12-07
1007,AWS server instance down,Cloud Issue,Low,7.79,Network Team,In Progress,2026-02-18
1008,Laptop not turning on,Hardware Issue,Medium,2.12,Network Team,In Progress,2026-05-30
1009,Forgot system password,Password Reset,Medium,2.9,Application Team,Resolved,2025-09-28
1010,Database query execution failed,Database Issue,Medium,4.4,Application Team,Closed,2026-01-08
1011,Unable to send company email,Email Issue,Critical,7.73,IT Support,Resolved,2025-10-14
1012,Form submission failed,Application Bug,Critical,4.45,Network Team,Open,2025-12-06
1013,Software license expired,Software Issue,Low,4.8,Security Team,Resolved,2025-12-26
1014,Outlook not syncing emails,Email Issue,Medium,5.63,IT Support,Open,2025-09-03
1015,Unable to login after password reset,Password Reset,Critical,4.63,Cloud Team,Resolved,2026-02-09
1016,Cloud storage access denied,Cloud Issue,Critical,2.95,Database Team,In Progress,2026-02-05
1017,Dashboard not loading correctly,Application Bug,Medium,9.15,Database Team,Open,2026-01-07
1018,Cloud storage access denied,Cloud Issue,Medium,9.35,Database Team,In Progress,2025-09-17
1019,API returning unexpected error,Application Bug,High,4.17,IT Support,Open,2026-01-20
1020,Software license expired,Software Issue,Critical,10.3,Database Team,Open,2025-07-08
1021,Email attachments not opening,Email Issue,Critical,7.9,IT Support,In Progress,2026-04-05
1022,Suspicious login detected,Security Incident,Low,4.16,Application Team,Closed,2025-11-19
1023,Unauthorized access attempt,Security Incident,High,6.66,IT Support,Open,2025-08-08
1024,Keyboard not working properly,Hardware Issue,Low,6.01,Cloud Team,Closed,2026-01-15
1025,Unable to login after password reset,Password Reset,High,7.23,Network Team,In Progress,2025-11-08
1026,Keyboard not working properly,Hardware Issue,High,10.1,Network Team,In Progress,2025-06-25
1027,Forgot system password,Password Reset,Medium,1.1,Application Team,Resolved,2026-01-09
1028,AWS server instance down,Cloud Issue,Critical,2.55,Cloud Team,Open,2025-09-01
1029,Unable to connect to company VPN,VPN Access,Critical,5.09,Network Team,Closed,2025-11-20
1030,Email attachments not opening,Email Issue,High,11.81,Application Team,In Progress,2025-08-01
1031,SQL server connection timeout,Database Issue,High,8.06,Application Team,Open,2025-11-02
1032,WiFi disconnecting frequently,Network Issue,Low,5.77,Cloud Team,In Progress,2025-09-30
1033,Malware alert triggered,Security Incident,Low,10.92,Cloud Team,Open,2026-06-06
1034,Suspicious login detected,Security Incident,High,5.55,IT Support,Open,2025-06-24
1035,Unable to connect to company VPN,VPN Access,Critical,10.65,Security Team,In Progress,2025-08-23
1036,Keyboard not working properly,Hardware Issue,Low,6.26,Cloud Team,In Progress,2025-11-26
1037,WiFi disconnecting frequently,Network Issue,High,1.31,Security Team,Open,2025-07-23
1038,Unable to send company email,Email Issue,High,1.12,IT Support,Open,2025-07-17
1039,Unable to connect to company VPN,VPN Access,Critical,3.65,Database Team,Open,2025-08-04
1040,API returning unexpected error,Application Bug,Low,2.92,Security Team,Open,2025-08-12
1041,WiFi disconnecting frequently,Network Issue,Medium,5.95,Database Team,In Progress,2025-06-27
1042,Database query execution failed,Database Issue,Low,6.42,Database Team,Open,2025-07-10
1043,Azure VM not responding,Cloud Issue,Critical,5.99,Network Team,In Progress,2025-08-02
1044,Software license expired,Software Issue,Low,11.68,Cloud Team,Resolved,2026-05-02
1045,Unable to login after password reset,Password Reset,Medium,5.63,Security Team,Open,2026-05-07
1046,Unable to access internal network,Network Issue,High,9.77,Cloud Team,Open,2025-09-25
1047,Unauthorized access attempt,Security Incident,Critical,2.6,IT Support,Resolved,2025-08-24
1048,Application crashing frequently,Software Issue,High,1.87,IT Support,Resolved,2026-03-29
1049,API returning unexpected error,Application Bug,Low,9.0,Database Team,Closed,2025-12-14
1050,WiFi disconnecting frequently,Network Issue,Medium,5.48,IT Support,In Progress,2025-09-25
1051,Unable to install software update,Software Issue,High,4.1,Application Team,Closed,2025-07-22
1052,Cloud storage access denied,Cloud Issue,Critical,4.56,Security Team,Open,2026-06-12
1053,Monitor display flickering,Hardware Issue,Critical,7.49,Database Team,Resolved,2026-01-20
1054,Unauthorized access attempt,Security Incident,High,8.91,Database Team,Resolved,2026-04-25
1055,Azure VM not responding,Cloud Issue,Medium,2.13,IT Support,In Progress,2026-06-17
1056,Password reset link not working,Password Reset,Medium,2.62,Database Team,Resolved,2025-07-13
1057,Unable to install software update,Software Issue,Low,6.91,Cloud Team,Closed,2025-11-28
1058,Unable to login after password reset,Password Reset,High,8.67,Application Team,In Progress,2025-07-21
1059,Suspicious login detected,Security Incident,Critical,5.75,IT Support,Closed,2025-08-20
1060,Email attachments not opening,Email Issue,High,2.51,Cloud Team,Closed,2025-06-22
1061,Suspicious login detected,Security Incident,Critical,9.24,Database Team,In Progress,2026-02-24
1062,Cloud storage access denied,Cloud Issue,Critical,5.48,Cloud Team,Open,2026-06-01
1063,Email attachments not opening,Email Issue,Low,3.18,Security Team,In Progress,2025-10-12
1064,Form submission failed,Application Bug,Medium,3.47,Security Team,Closed,2025-12-12
1065,Cloud storage access denied,Cloud Issue,Critical,7.38,Security Team,Closed,2025-09-11
1066,AWS server instance down,Cloud Issue,Low,4.45,IT Support,In Progress,2025-10-12
