ticket_id,ticket_description,category,priority,resolution_time_hours,assigned_team,status,created_date,cleaned_text
1000,VPN connection failed remotely,VPN Access,Medium,2.12,Cloud Team,In Progress,2026-02-04,vpn connection failed remotely
1001,Unable to connect to company VPN,VPN Access,Critical,3.57,Cloud Team,Resolved,2026-03-05,unable connect company vpn
1002,Form submission failed,Application Bug,Medium,10.68,Database Team,Open,2026-06-09,form submission failed
1003,Unable to connect to company VPN,VPN Access,Medium,10.94,Network Team,Closed,2025-09-09,unable connect company vpn
1004,Password reset link not working,Password Reset,Low,10.21,Cloud Team,Open,2026-02-17,password reset link working
1005,Keyboard not working properly,Hardware Issue,Medium,6.24,Application Team,Resolved,2025-07-15,keyboard working properly
1006,Internet speed extremely slow,Network Issue,Medium,2.5,Network Team,Open,2025-12-07,internet speed extremely slow
1007,AWS server instance down,Cloud Issue,Low,7.79,Network Team,In Progress,2026-02-18,aws server instance
1008,Laptop not turning on,Hardware Issue,Medium,2.12,Network Team,In Progress,2026-05-30,laptop turning
1009,Forgot system password,Password Reset,Medium,2.9,Application Team,Resolved,2025-09-28,forgot system password
1010,Database query execution failed,Database Issue,Medium,4.4,Application Team,Closed,2026-01-08,database query execution failed
1011,Unable to send company email,Email Issue,Critical,7.73,IT Support,Resolved,2025-10-14,unable send company email
1012,Form submission failed,Application Bug,Critical,4.45,Network Team,Open,2025-12-06,form submission failed
1013,Software license expired,Software Issue,Low,4.8,Security Team,Resolved,2025-12-26,software license expired
1014,Outlook not syncing emails,Email Issue,Medium,5.63,IT Support,Open,2025-09-03,outlook syncing emails
1015,Unable to login after password reset,Password Reset,Critical,4.63,Cloud Team,Resolved,2026-02-09,unable login password reset
1016,Cloud storage access denied,Cloud Issue,Critical,2.95,Database Team,In Progress,2026-02-05,cloud storage access denied
1017,Dashboard not loading correctly,Application Bug,Medium,9.15,Database Team,Open,2026-01-07,dashboard loading correctly
1018,Cloud storage access denied,Cloud Issue,Medium,9.35,Database Team,In Progress,2025-09-17,cloud storage access denied
1019,API returning unexpected error,Application Bug,High,4.17,IT Support,Open,2026-01-20,api returning unexpected error
1020,Software license expired,Software Issue,Critical,10.3,Database Team,Open,2025-07-08,software license expired
1021,Email attachments not opening,Email Issue,Critical,7.9,IT Support,In Progress,2026-04-05,email attachments opening
1022,Suspicious login detected,Security Incident,Low,4.16,Application Team,Closed,2025-11-19,suspicious login detected
1023,Unauthorized access attempt,Security Incident,High,6.66,IT Support,Open,2025-08-08,unauthorized access attempt
1024,Keyboard not working properly,Hardware Issue,Low,6.01,Cloud Team,Closed,2026-01-15,keyboard working properly
1025,Unable to login after password reset,Password Reset,High,7.23,Network Team,In Progress,2025-11-08,unable login password reset
1026,Keyboard not working properly,Hardware Issue,High,10.1,Network Team,In Progress,2025-06-25,keyboard working properly
1027,Forgot system password,Password Reset,Medium,1.1,Application Team,Resolved,2026-01-09,forgot system password
1028,AWS server instance down,Cloud Issue,Critical,2.55,Cloud Team,Open,2025-09-01,aws server instance
1029,Unable to connect to company VPN,VPN Access,Critical,5.09,Network Team,Closed,2025-11-20,unable connect company vpn
1030,Email attachments not opening,Email Issue,High,11.81,Application Team,In Progress,2025-08-01,email attachments opening
1031,SQL server connection timeout,Database Issue,High,8.06,Application Team,Open,2025-11-02,sql server connection timeout
1032,WiFi disconnecting frequently,Network Issue,Low,5.77,Cloud Team,In Progress,2025-09-30,wifi disconnecting frequently
1033,Malware alert triggered,Security Incident,Low,10.92,Cloud Team,Open,2026-06-06,malware alert triggered
1034,Suspicious login detected,Security Incident,High,5.55,IT Support,Open,2025-06-24,suspicious login detected
1035,Unable to connect to company VPN,VPN Access,Critical,10.65,Security Team,In Progress,2025-08-23,unable connect company vpn
1036,Keyboard not working properly,Hardware Issue,Low,6.26,Cloud Team,In Progress,2025-11-26,keyboard working properly
1037,WiFi disconnecting frequently,Network Issue,High,1.31,Security Team,Open,2025-07-23,wifi disconnecting frequently
1038,Unable to send company email,Email Issue,High,1.12,IT Support,Open,2025-07-17,unable send company email
1039,Unable to connect to company VPN,VPN Access,Critical,3.65,Database Team,Open,2025-08-04,unable connect company vpn
1040,API returning unexpected error,Application Bug,Low,2.92,Security Team,Open,2025-08-12,api returning unexpected error
1041,WiFi disconnecting frequently,Network Issue,Medium,5.95,Database Team,In Progress,2025-06-27,wifi disconnecting frequently
1042,Database query execution failed,Database Issue,Low,6.42,Database Team,Open,2025-07-10,database query execution failed
